type,subtype,level,srccountry,srcintf,srcintfrole,dstintf,dstintfrole,action,proto,service,policyid,appcat,duration,sentbyte,rcvdbyte,crscore,threat
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,25,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,28,79.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,4,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,25,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,5,6.0,0,59.0,1,10.0,52.0,0.0,5.0,1
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,29,87.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,30,79.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,25,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,26,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,14,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,13,79.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,25,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,31,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,32,87.0,1,0.0,0.0,0.0,30.0,2
0,0,1,10,1,1,1,1,7,17.0,8,52.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,1,1,1,1,7,17.0,8,52.0,1,0.0,0.0,0.0,5.0,2
0,0,0,6,0,0,0,0,4,6.0,25,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,5,6.0,0,59.0,1,25.0,52.0,260.0,5.0,1
0,0,1,10,1,1,1,1,7,17.0,8,52.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,1,1,1,1,7,17.0,8,52.0,1,0.0,0.0,0.0,5.0,2
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,300.0,320.0,5.0,1
0,0,0,6,0,0,0,0,4,6.0,18,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,29,87.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,29,87.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,33,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,18,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,14,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,4,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,25,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,28,79.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,34,79.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,34,79.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,34,79.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,34,79.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,34,79.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,34,79.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,34,79.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,4,6.0,0,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,34,79.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,34,79.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,32,87.0,1,0.0,0.0,0.0,30.0,2
